"year","Annual_SW","August_SW","September_SW","October_SW","Annual_GW_UL","August_GW_UL","September_GW_UL","October_GW_UL","Annual_GW_LC","August_GW_LC","September_GW_LC","October_GW_LC","Total.cms","August.cms","September.cms","October.cms"
1971,84210.6611,7147.24296810404,6916.68674332649,7147.24296810404,0,0,0,0,0,0,0,0,0.00266847482381423,0.00266847482381423,0.00266847482381423,0.00266847482381423
1972,85040.32435,7217.65928774812,6984.8315687885,7217.65928774812,0,0,0,0,0,0,0,0,0.0026947652657363,0.0026947652657363,0.0026947652657363,0.0026947652657363
1973,85040.32435,7217.65928774812,6984.8315687885,7217.65928774812,0,0,0,0,0,0,0,0,0.0026947652657363,0.0026947652657363,0.0026947652657363,0.0026947652657363
1974,85040.32435,7217.65928774812,6984.8315687885,7217.65928774812,0,0,0,0,0,0,0,0,0.0026947652657363,0.0026947652657363,0.0026947652657363,0.0026947652657363
1975,86699.65085,7358.49192703628,7121.12121971253,7358.49192703628,0,0,0,0,0,0,0,0,0.00274734614958045,0.00274734614958045,0.00274734614958045,0.00274734614958045
1976,86699.65085,7358.49192703628,7121.12121971253,7358.49192703628,0,0,0,0,0,0,0,0,0.00274734614958045,0.00274734614958045,0.00274734614958045,0.00274734614958045
1977,87529.3141,7428.90824668036,7189.26604517454,7428.90824668036,0,0,0,0,0,0,0,0,0.00277363659150252,0.00277363659150252,0.00277363659150252,0.00277363659150252
1978,87529.3141,7428.90824668036,7189.26604517454,7428.90824668036,0,0,0,0,0,0,0,0,0.00277363659150252,0.00277363659150252,0.00277363659150252,0.00277363659150252
1979,88358.97735,7499.32456632444,7257.41087063655,7499.32456632444,0,0,0,0,0,0,0,0,0.00279992703342459,0.00279992703342459,0.0027999270334246,0.00279992703342459
1980,88358.97735,7499.32456632444,7257.41087063655,7499.32456632444,0,0,0,0,0,0,0,0,0.00279992703342459,0.00279992703342459,0.0027999270334246,0.00279992703342459
1981,104607.1406,12657.2481463085,9327.45301906326,7650.38268625755,0,0,0,0,0,0,0,0,0.00331480025730727,0.00472567508449391,0.0035985544055028,0.00285632567437931
1982,105436.80385,12727.6644659526,9395.59784452527,7720.79900590163,0,0,0,0,0,0,0,0,0.00334109069922935,0.00475196552641598,0.00362484484742487,0.00288261611630139
1983,106266.4671,12798.0807855966,9463.74266998728,7791.21532554571,638.75,54.2128678986995,52.4640657084189,54.2128678986995,0,0,0,0,0.00338762190724263,0.00479849673442926,0.00367137605543816,0.00292914732431467
1984,135304.6188,15262.6467067465,11848.8064646485,10255.7812466956,1277.5,108.425735797399,104.928131416838,108.425735797399,0,0,0,0,0.00432802617436053,0.00573890100154717,0.00461178032255606,0.00386955159143257
1985,136134.28205,15333.0630263906,11916.9512901105,10326.1975663397,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00437455738237382,0.00578543220956045,0.00465831153056935,0.00391608279944586
1986,136134.28205,15333.0630263906,11916.9512901105,10326.1975663397,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00437455738237382,0.00578543220956045,0.00465831153056935,0.00391608279944586
1987,141112.25425,15755.5603246795,12325.8196432932,10748.6948646285,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00453229980258321,0.00594317462976985,0.00481605395077874,0.00407382521965525
1988,146090.23375,16178.0582425439,12734.6885960653,11171.192782493,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00469004245411565,0.00610091728130228,0.00497379660231118,0.00423156787118769
1989,295084.225,32602.5681825554,25707.8788348411,22588.8372624535,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00941137713260831,0.0122331267869816,0.00997888542899937,0.00849442796675239
1990,295913.88825,32672.9845021994,25776.0236603031,22659.2535820976,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00943766757453038,0.0122594172289036,0.0100051758709214,0.00852071840867446
1991,297573.21475,32813.8171414876,25912.3133112271,22800.0862213857,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00949024845837453,0.0123119981127478,0.0100577567547656,0.00857329929251861
1992,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00946395801645246,0.0122857076708257,0.0100314663128435,0.00854700885059653
1993,297573.21475,32813.8171414876,25912.3133112271,22800.0862213857,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00949024845837453,0.0123119981127478,0.0100577567547656,0.00857329929251861
1994,299232.54125,32954.6497807757,26048.6029621512,22940.9188606739,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00954282934221867,0.0123645789965919,0.0101103376386097,0.00862588017636275
1995,299232.54125,32954.6497807757,26048.6029621512,22940.9188606739,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00954282934221867,0.0123645789965919,0.0101103376386097,0.00862588017636275
1996,299232.54125,32954.6497807757,26048.6029621512,22940.9188606739,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00954282934221867,0.0123645789965919,0.0101103376386097,0.00862588017636275
1997,295913.88825,32672.9845021994,25776.0236603031,22659.2535820976,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00943766757453038,0.0122594172289036,0.0100051758709214,0.00852071840867446
1998,295913.88825,32672.9845021994,25776.0236603031,22659.2535820976,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00943766757453038,0.0122594172289036,0.0100051758709214,0.00852071840867446
1999,295913.88825,32672.9845021994,25776.0236603031,22659.2535820976,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00943766757453038,0.0122594172289036,0.0100051758709214,0.00852071840867446
2000,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00946395801645246,0.0122857076708257,0.0100314663128435,0.00854700885059653
2001,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00946395801645246,0.0122857076708257,0.0100314663128435,0.00854700885059653
2002,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,1916.25,162.638603696099,157.392197125257,162.638603696099,0,0,0,0,0.00946395801645246,0.0122857076708257,0.0100314663128435,0.00854700885059653
2003,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,1917.35701906412,162.732560139597,157.483122715739,162.732560139597,0,0,0,0,0.00946399309576977,0.012285742750143,0.0100315013921608,0.00854704392991385
2004,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00948423386186098,0.0123059835162342,0.010051742158252,0.00856728469600506
2005,296743.5515,32743.4008218435,25844.1684857651,22729.6699017417,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00948423386186098,0.0123059835162342,0.010051742158252,0.00856728469600506
2006,300656.91475,33856.7159815418,26339.2103330355,22800.0862213857,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00960824086017518,0.0127216477783677,0.0102427305252545,0.00859357513792713
2007,301486.578,33927.1323011859,26407.3551584975,22870.5025410298,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00963453130209725,0.0127479382202898,0.0102690209671766,0.00861986557984921
2008,301486.578,33927.1323011859,26407.3551584975,22870.5025410298,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00963453130209725,0.0127479382202898,0.0102690209671766,0.00861986557984921
2009,301486.578,33927.1323011859,26407.3551584975,22870.5025410298,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00963453130209725,0.0127479382202898,0.0102690209671766,0.00861986557984921
2010,301486.578,33927.1323011859,26407.3551584975,22870.5025410298,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00963453130209725,0.0127479382202898,0.0102690209671766,0.00861986557984921
2011,303145.9045,34067.964940474,26543.6448094216,23011.335180318,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00968711218594139,0.0128005191041339,0.0103216018510207,0.00867244646369335
2012,303975.5495,34138.379711179,26611.7881359103,23081.749951023,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00971340204955586,0.0128268089677484,0.0103478917146352,0.00869873632730782
2013,304805.1945,34208.794481884,26679.931462399,23152.164721728,2556.10701906412,216.945428038297,209.947188424158,216.945428038297,0,0,0,0,0.00973969191317033,0.0128530988313629,0.0103741815782497,0.00872502619092229
