"ID","Month","BG.Test","BG.Test.crit","regime"
"08GA071",9,2.07155759725525,5.32706073647919,"Glacial"
"08GA071",10,0.208370595865499,4.88545192596409,"Glacial"
"08NK002",9,3.69109913364543,4.91522811590427,"Snowfall"
"08NK002",10,0.19424226184531,4.53534652255388,"Snowfall"
"08NK016",9,0.150802905297373,4.36785418031759,"Snowfall"
"08NK016",10,1.29859400455569,4.71838067413016,"Snowfall"
"08NL076",9,1.09754343300083,5.95467915288648,"Hybrid"
"08NL076",10,0.000225292412079183,8.03989704343973,"Hybrid"
"08EG012",8,0.0497954867165058,4.45975492315469,"Glacial"
"08EG012",9,0.0625223267520822,4.46730996783803,"Glacial"
"08EG012",10,0.0188229187102123,4.56907375456534,"Glacial"
"08LB024",9,0.549965314115905,4.59369493223312,"Hybrid"
"08LB024",10,0.962195814479452,4.92302657495981,"Hybrid"
"08MG026",9,1.48364296282483,6.5745072155736,"Glacial"
"08MG026",10,2.41728985601788,6.87914226010934,"Glacial"
"08NJ168",8,3.66264373716126,5.62973146514352,"Hybrid"
"08NJ168",9,1.90177394543308,5.26361294437397,"Hybrid"
"08NJ168",10,8.13227224111983,4.84018321251339,"Hybrid"
"08NP001",8,1.35155833129248,4.46728026268742,"Hybrid"
"08NP001",9,0.717418175684454,4.79047256086958,"Hybrid"
"08NP001",10,1.28840305404395,4.57929252489456,"Hybrid"
"08NK018",9,0.460303898793735,4.52968997532276,"Snowfall"
"08NK018",10,0.132306903951733,4.6232680922342,"Snowfall"
"08KA004",9,0.692331971934338,4.37138175832144,"Snowfall"
"08KA004",10,0.172297404579996,4.44300244365924,"Snowfall"
"08KA005",9,1.43235382619883,4.6875064238393,"Glacial"
"08KA005",10,0.447082327975343,4.51627210675095,"Glacial"
"08KA007",9,4.60872997453368,4.53649573683469,"Snowfall"
"08KA007",10,2.25319569931987,4.38711402825234,"Snowfall"
"08KB001",9,3.47395933694578,4.51976315925067,"Snowfall"
"08KB001",10,0.0798559160972803,4.46225277633022,"Snowfall"
"08NH130",9,0.00289073077708826,4.44747447340953,"Snowfall"
"08NH130",10,2.54580681718969,5.32824033572778,"Snowfall"
"08HA068",7,8.19414083081265,6.12737269386724,"Rainfall"
"08HA068",8,1.14913254497185,7.03307632268838,"Rainfall"
"08HA068",9,4.78399558251263,7.5617821114723,"Rainfall"
"08EE008",8,0.464205352168995,4.40366888031638,"Hybrid"
"08EE008",9,0.223969079750228,4.45538792722495,"Hybrid"
"08EE008",10,2.31608147827795,4.76784376816309,"Hybrid"
"08NB014",9,0.108481571238883,4.74691423676508,"Glacial"
"08NB014",10,0.152679227992338,4.74757025860934,"Glacial"
"08ND012",9,0.732918639925276,4.54309939171171,"Glacial"
"08ND012",10,0.868243609078354,4.31606280834964,"Glacial"
"08NN002",8,1.05405660296402,4.85578094465017,"Hybrid"
"08NN002",9,5.03112445463016,5.38755460237112,"Hybrid"
"08NN002",10,0.42931107232159,5.10250118048409,"Hybrid"
"08NM173",9,2.27666995802227,4.93044735057931,"Hybrid"
"08NM173",10,1.62610994579287,5.02287525569211,"Hybrid"
"08LG056",9,0.941511628192877,4.56763521012187,"Hybrid"
"08LG056",10,6.43520706547536,4.71580200724714,"Hybrid"
"08LB076",8,1.76244802551807,5.23119281428355,"Hybrid"
"08LB076",9,2.84040045731789,5.11913544402914,"Hybrid"
"08LB076",10,0.0276726630701221,4.35786232787659,"Hybrid"
"08HA070",7,2.82600266201633,5.95021190104826,"Rainfall"
"08HA070",8,0.210797685873129,7.02614885581485,"Rainfall"
"08HA070",9,0.290125328026235,5.10431547600264,"Rainfall"
"08MG013",9,5.43546877482216,4.61551727727359,"Glacial"
"08MG013",10,6.11016440487908e-05,4.72013566787082,"Glacial"
"08NL050",9,7.40686358147982,5.08134840853386,"Snowfall"
"08NL050",10,0.0455380696590307,5.2350808629537,"Snowfall"
"08NE114",8,0.33215993194509,4.90528896493798,"Hybrid"
"08NE114",9,7.06664614581935,5.08973842220462,"Hybrid"
"08NE114",10,3.10635515776227,4.79651483632585,"Hybrid"
"08FF002",8,0.0103364282115691,4.29814086521701,"Hybrid"
"08FF002",9,0.110264102215029,4.33357967724402,"Hybrid"
"08FF002",10,2.097158359128,4.37954771959983,"Hybrid"
"08GD008",9,1.43220364990222,4.74817266710352,"Snowfall"
